"","individual_id","Culmen_length","sex","sex.m","Maxdist"
"35545","SGP16_102017",83,"Female","Not.sexed",1090.74212163324
"29272","SGP10_03102016",84,"Female","Not.sexed",992.700493591964
"23643","SGP05_102017",84.9,"Female","Not.sexed",1524.57551243691
"39635","SGP22_102017",84.9,"Female","Not.sexed",583.756531079932
"11061","NGP12_092017",85.3,"Female","Not.sexed",1768.61031471579
"26493","SGP07_KD_SEP_2015",85.3,"Female","Not.sexed",904.022173754124
"18338","NGP20_092017",85.6,"Female","Not.sexed",1763.13187209257
"5166","NGP06_092017",87.1,"Female","Not.sexed",631.157407265252
"39398","SGP20_102017",87.1,"Female","Not.sexed",379.675863275693
"14407","NGP15_26102016",87.2,"Female","Not.sexed",1285.53072162987
"6877","NGP08_092017",87.4,"Female","Not.sexed",1665.60479076129
"13977","NGP15_092017",87.4,"Female","Not.sexed",1737.74927441648
"14994","NGP16_092017",87.8,"Female","Not.sexed",519.541959427036
"23036","SGP04_102017",87.9,"Female","Not.sexed",1245.78457215749
"38782","SGP18_KD_SEP_2015",87.9,"Female","Female",1573.71141637591
"24062","SGP05_KD_SEP_2015",88,"Female","Not.sexed",1909.48454350235
"36930","SGP17_102017",88.2,"Female","Not.sexed",1716.88900010519
"5618","NGP06_26102016",88.5,"Female","Not.sexed",538.964604971131
"1","NGP01_092017",88.7,"Female","Not.sexed",660.589839062759
"3222","NGP04_26102016",88.7,"Female","Not.sexed",1723.95445279383
"26018","SGP07_102017",88.7,"Female","Not.sexed",1245.31663599763
"9604","NGP10_092017",88.9,"Female","Not.sexed",514.489201968803
"30796","SGP11_102017",88.9,"Female","Not.sexed",2031.42797805199
"38311","SGP18_102017",89,"Female","Not.sexed",847.764702494359
"21309","SGP01_102017",89.2,"Female","Not.sexed",643.278081617318
"16568","NGP17_KD_SEP_2015",89.5,"Female","Not.sexed",1802.88134064545
"27392","SGP08_102017",89.5,"Female","Not.sexed",1305.60812798813
"267","NGP01_26092016",89.6,"Female","Not.sexed",1804.98825347426
"19761","NGP21_27102016",89.6,"Female","Female",87.9919950785718
"36287","SGP16_KD_SEP_2015",89.8,"Female","Not.sexed",1669.34634313353
"34765","SGP14_KD_SEP_2015",89.9,"Female","Not.sexed",1089.02865239526
"26884","SGP08_03102016",90.1,"Female","Not.sexed",846.838143329362
"15995","NGP17_092017",90.2,"Female","Not.sexed",1523.05731653456
"35145","SGP15_102017",90.2,"Female","Not.sexed",1095.29530108228
"7680","NGP08_KD_SEP_2015",90.4,"Female","Not.sexed",1750.66376706632
"11684","NGP12_26102016",90.6,"Female","Female",234.945571160133
"34122","SGP14_03102016",90.6,"Female","Not.sexed",2343.54611488583
"8519","NGP09_26102016",90.7,"Female","Not.sexed",1754.29339953208
"17569","NGP19_27102016",91.3,"Female","Not.sexed",1742.37974459598
"18905","NGP20_26102016",91.3,"Female","Not.sexed",1737.30765820464
"31391","SGP11_KD_SEP_2015",91.5,"Female","Not.sexed",1021.0072708907
"32925","SGP13_03102016",91.6,"Female","Not.sexed",1572.83167726394
"8255","NGP09_092017",91.7,"Female","Not.sexed",1056.64904128066
"30155","SGP11_03102016",91.8,"Female","Not.sexed",1756.65036059201
"9868","NGP11_092017",92,"Female","Not.sexed",1413.24536180373
"31777","SGP12_03102016",92,"Female","Not.sexed",1817.5224653138
"12688","NGP13_KD_SEP_2015",92.2,"Female","Not.sexed",727.211943653997
"15520","NGP16_KD_SEP_2015",92.2,"Female","Not.sexed",1740.01214722476
"13222","NGP14_26102016",92.3,"Female","Not.sexed",1806.14755131149
"23280","SGP04_KD_SEP_2015",92.3,"Female","Female",1389.45913543781
"20665","SGP01_03102016",92.4,"Female","Not.sexed",1341.29486350665
"5955","NGP06_KD_SEP_2015",92.5,"Female","Not.sexed",1817.21957180016
"17031","NGP18_KD_SEP_2015",92.7,"Female","Female",96.6683213037993
"25768","SGP07_03102016",93.3,"Female","Female",1676.04329179156
"24696","SGP06_03102016",93.4,"Female","Female",1215.50319882322
"16238","NGP17_26102016",93.5,"Female","Female",1422.33098161695
"12365","NGP13_26102016",93.7,"Female","Female",1310.75398784936
"15190","NGP16_26102016",93.8,"Female","Female",1846.63083820427
"1903","NGP02_26092016",95.7,"Female","Female",1924.33516807259
"32420","SGP12_102017",98.2,"Male","Male",49.6967549025138
"3559","NGP04_KD_SEP_2015",99.3,"Male","Not.sexed",4.09450092727443
"3831","NGP05_092017",99.9,"Male","Male",1137.63173061691
"606","NGP01_KD_SEP_2015",100.1,"Male","Not.sexed",13.1745085697543
"37400","SGP17_KD_SEP_2015",101.3,"Male","Male",1735.90025936433
"2319","NGP03_26092016",102.4,"Male","Not.sexed",8.69628367566114
"8854","NGP09_KD_SEP_2015",102.5,"Male","Not.sexed",69.1990013630913
"2655","NGP03_KD_SEP_2015",102.9,"Male","Male",1221.25694298443
"21857","SGP02_102017",102.9,"Male","Male",1480.3738484022
"22713","SGP03_KD_SEP_2015",103.4,"Male","Not.sexed",10.1713691590591
"25205","SGP06_102017",103.7,"Male","Not.sexed",9.58397173610986
"29780","SGP10_KD_SEP_2015",103.7,"Male","Not.sexed",14.9238070176599
"4558","NGP05_KD_SEP_2015",103.9,"Male","Male",1609.66533435202
"19313","NGP20_KD_SEP_2015",104.2,"Male","Not.sexed",26.6182268156683
"25493","SGP06_KD_SEP_2015",105,"Male","Not.sexed",13.175614461523
"27991","SGP08_KD_SEP_2015",105.3,"Male","Not.sexed",9.74999666957748
"14737","NGP15_KD_SEP_2015",105.4,"Male","Not.sexed",25.5935114385103
"39196","SGP19_KD_SEP_2015",105.5,"Male","Not.sexed",9.75172144324074
"1636","NGP02_092017",106.1,"Male","Not.sexed",42.6781067541869
"28862","SGP09_KD_SEP_2015",106.4,"Male","Not.sexed",9.71601090337877
"32700","SGP12_KD_SEP_2015",106.6,"Male","Not.sexed",9.49036371191383
"20411","NGP22_102017",107,"Male","Not.sexed",49.9352766639222
"37806","SGP18_03102016",107.2,"Male","Not.sexed",9.61362131976426
"6541","NGP07_26102016",107.6,"Male","Not.sexed",8.49423954275327
"10536","NGP11_KD_SEP_2015",107.7,"Male","Not.sexed",984.766246607826
"4221","NGP05_26102016",108.1,"Male","Male",231.277101654833
"7265","NGP08_26102016",109.7,"Male","Male",615.777141610195
"13636","NGP14_KD_SEP_2015",110,"Male","Male",1424.20327399639
"22349","SGP02_KD_SEP_2015",110.3,"Male","Male",21.183308258782
"10128","NGP11_26102016",113.9,"Male","Not.sexed",9.34132209275722
"36685","SGP17_03102016",117.9,"Male","Not.sexed",9.49147594166848
"17960","NGP19_KD_SEP_2015",NA,"Male","Male",42.8208471651634
"21546","SGP01_KD_SEP_2015",NA,"Male","Male",12.5673183700992
"28388","SGP09_102017",NA,"Male","Male",9.45160279240795
"33456","SGP13_102017",NA,"Male","Male",1468.91849967312
